species_name,adult_forearm_length_mm,precip_mean_mm,TrophicLevel
Balantiopteryx_infusca,38.99,121.57,NA
Balantiopteryx_io,37,144.32,NA
Balantiopteryx_plicata,42.23,106.96,C
Balionycteris_maculata,40.96,244.15,H
Chaerephon_aloysiisabaudiae,51,143.46,NA
Chaerephon_ansorgei,45.99,111.51,NA
Chaerephon_bemmeleni,43.5,128.81,NA
Chaerephon_bivittatus,48.99,73.12,NA
Chaerephon_chapini,36.5,135.76,NA
Chaerephon_gallagheri,37.5,137.79,NA
Chaerephon_jobensis,46.5,65.76,C
Chaerephon_johorensis,47.24,210.92,C
Chaerephon_major,44.94,84.98,NA
Chaerephon_nigeriae,47,99.84,NA
Chaerephon_plicatus,46.39,155.19,C
Chaerephon_pumilus,38.99,96.01,C
Chaerephon_russatus,44.49,139.02,NA
Eptesicus_matroka,32.49,126.16,C
Eptesicus_nasutus,37,18.56,NA
Eptesicus_nilssonii,40.24,40.55,C
Eptesicus_pachyotis,38.49,141.35,NA
Erophylla_bombifrons,47.11,104.87,H
Erophylla_sezekorni,47.5,108.01,NA
Eptesicus_serotinus,50.3,59.65,C
Eptesicus_tatei,45,187.76,NA
Brachyphylla_cavernarum,66.21,104.75,O
Brachyphylla_nana,58.26,103.98,NA
Chalinolobus_dwyeri,40,65.83,NA
Chalinolobus_gouldii,43.87,36.09,C
Chalinolobus_morio,37,40.72,C
Desmodus_rotundus,58.29,130.09,C
Diaemus_youngi,50.78,150.09,C
Diclidurus_albus,66,157.72,C
Diclidurus_ingens,71.5,196.17,NA
Diclidurus_isabellus,54,181.99,NA
Diclidurus_scutatus,54.5,187.24,NA
Diphylla_ecaudata,54.99,141.74,C
Emballonura_alecto,45.99,239.99,NA
Emballonura_atrata,38.24,141.88,C
Emballonura_beccarii,41,312.79,NA
Emballonura_dianae,44.49,343.56,NA
Emballonura_furax,47.5,350.99,NA
Emballonura_monticola,44,233.86,C
Emballonura_raffrayana,42.5,257.66,NA
Enchisthenes_hartii,39.82,140.17,H
Hesperoptenus_doriae,40,240.39,NA
Hesperoptenus_gaskelli,39.5,237,NA
Hesperoptenus_tickelli,54.99,129.82,NA
Hesperoptenus_tomesi,52,224.26,NA
Barbastella_barbastellus,38.49,57.71,C
Barbastella_leucomelas,41.49,84.55,NA
Bauerus_dubiaquercus,53.29,171.52,C
Cheiromeles_torquatus,81.49,236.22,C
Chilonatalus_micropus,33.5,106.88,C
Chiroderma_doriae,52.5,125.32,H
Chiroderma_salvini,47.5,137.6,H
Chiroderma_trinitatum,36.38,164.23,H
Chiroderma_villosum,45.51,159.13,H
Chironax_melanocephalus,45.5,232.64,H
Cardioderma_cor,54,55.07,C
Carollia_brevicauda,40.26,155.22,H
Carollia_castanea,36.2,171.15,H
Carollia_perspicillata,42.45,149.5,O
Carollia_subrufa,39.41,143.06,H
Casinycteris_argynnis,56,149.06,H
Centronycteris_maximiliani,45.5,152.17,C
Centurio_senex,44,126.65,H
Chalinolobus_nigrogriseus,34.99,76.24,NA
Chalinolobus_picatus,33.5,26.49,NA
Chalinolobus_tuberculatus,41,90.49,C
Choeroniscus_godmani,34,148.03,O
Choeroniscus_minor,35.49,173.43,O
Choeroniscus_periosus,41,213.36,NA
Choeronycteris_mexicana,44.49,52.95,O
Chrotopterus_auritus,82.56,145.4,O
Cistugo_lesueuri,34.5,27.82,NA
Cistugo_seabrae,32.49,12.74,NA
Cloeotis_percivali,34.5,73.96,NA
Coelops_frithii,41,155.98,C
Coelops_robinsoni,34.99,253.05,C
Coleura_afra,48,77.86,C
Eumops_perotis,75.49,128.55,C
Eumops_underwoodi,71.24,85.55,C
Cormura_brevirostris,46.5,179.4,C
Corynorhinus_rafinesquii,43,102.28,C
Corynorhinus_townsendii,43.4,39.48,C
Craseonycteris_thonglongyai,24.11,375.32,C
Cynomops_abrasus,43.5,151.62,C
Cynomops_greenhalli,35.49,148.42,C
Cynomops_planirostris,31.5,149.25,C
Cynopterus_brachyotis,64.21,195.98,H
Cynopterus_horsfieldii,73.52,239.19,H
Cynopterus_sphinx,71,138.22,H
Cynopterus_titthaecheilus,76.94,216.37,NA
Cyttarops_alecto,47,157.02,NA
Dobsonia_anderseni,122.55,204.26,NA
Dobsonia_beauforti,105.74,222.99,NA
Dobsonia_crenulata,122.37,201.4,NA
Dobsonia_emersa,115.64,223,NA
Dobsonia_exoleta,114.76,229.47,NA
Dobsonia_inermis,107.25,192.96,NA
Dobsonia_magna,148.84,229.5,NA
Dobsonia_minor,80,283.43,H
Dobsonia_moluccensis,138.69,236.8,H
Dobsonia_pannietensis,110.83,267,H
Dobsonia_peronii,115.1,204.26,H
Dobsonia_praedatrix,116.5,202.73,H
Dobsonia_viridis,115.01,231.15,NA
Dyacopterus_brooksi,81.45,316.14,NA
Dyacopterus_spadiceus,79.66,245.06,NA
Ectophylla_alba,28.65,232.56,H
Eidolon_dupreanum,127.72,120.91,H
Eidolon_helvum,120.5,84.6,H
Eonycteris_major,79.76,271.55,H
Eonycteris_spelaea,69,184.62,O
Epomophorus_angolensis,86.5,73.63,NA
Epomophorus_crypturus,80.49,80.09,H
Epomophorus_gambianus,85.27,106.13,H
Epomophorus_grandis,63.56,115.22,H
Epomophorus_labiatus,73.23,76.85,H
Epomophorus_wahlbergi,80.66,89.53,H
Epomops_buettikoferi,90.16,164.99,H
Epomops_dobsonii,84.49,92.26,NA
Epomops_franqueti,89.44,137.29,NA
Eptesicus_bobrinskoi,35.99,15.49,NA
Eptesicus_bottae,42.95,23.53,NA
Eptesicus_brasiliensis,43,147.5,C
Eptesicus_diminutus,34.5,101.99,NA
Eptesicus_dimissus,41.99,154,NA
Eptesicus_floweri,35.99,34.73,NA
Eptesicus_furinalis,39.15,139.02,C
Eptesicus_fuscus,46.69,63.98,C
Eptesicus_hottentotus,49.5,57.42,NA
Eptesicus_innoxius,36.5,92.32,NA
Euderma_maculatum,49.5,28.54,C
Eudiscopus_denticulus,35.99,132.37,NA
Eumops_auripendulus,61.5,148.58,NA
Eumops_bonariensis,40.12,143.9,C
Eumops_dabbenei,76.5,91.55,NA
Eumops_glaucinus,59.73,147.97,C
Eumops_hansae,38.29,164.8,NA
Eumops_maurus,52,140.51,NA
Falsistrellus_mordax,41,195.11,NA
Falsistrellus_petersi,38.99,246.75,NA
Falsistrellus_tasmaniensis,49.99,69.83,C
Haplonycteris_fischeri,50.56,202.1,H
Harpiocephalus_harpia,44.92,189.39,C
Harpiocephalus_mordax,51.5,136.13,NA
Harpyionycteris_celebensis,90.29,224.32,NA
Harpyionycteris_whiteheadi,85.47,200.92,H
Furipterus_horrens,35.49,159.6,C
Glauconycteris_alboguttata,38.99,153.37,NA
Glauconycteris_argentata,40.5,120.04,NA
Glauconycteris_beatrix,37,139.41,NA
Glauconycteris_egeria,38,129.53,NA
Glauconycteris_gleni,40,125.05,NA
Glauconycteris_kenyacola,40.5,66,NA
Glauconycteris_poensis,37.5,157.62,NA
Glauconycteris_superba,46.5,120.11,NA
Glauconycteris_variegata,43.54,106.66,C
Glischropus_javanus,32.49,345,NA
Glischropus_tylopus,29,217.01,C
Glossophaga_commissarisi,34.37,173.54,O
Glossophaga_leachii,35.71,119.14,O
Glossophaga_longirostris,38.49,105.87,O
Glossophaga_morenoi,34.5,109.3,O
Glossophaga_soricina,35.7,141.96,O
Glyphonycteris_behnii,45.99,157.81,O
Glyphonycteris_daviesi,55.5,181.36,O
Glyphonycteris_sylvestris,40.5,160.43,O
Kerivoula_agnella,35.99,267,NA
Kerivoula_argentata,36.5,85.82,NA
Kerivoula_cuprosa,32.99,125.85,NA
Hipposideros_abae,60.5,141.01,NA
Hipposideros_armiger,89.49,143.35,C
Hipposideros_ater,38.99,148.22,C
Hipposideros_beatus,43.5,147.9,NA
Hipposideros_bicolor,43.79,223.81,C
Hipposideros_caffer,46.5,88.43,C
Hipposideros_calcaratus,50.49,280.94,NA
Hipposideros_camerunensis,75,148.83,NA
Hipposideros_cervinus,45.99,244.2,C
Hipposideros_cineraceus,34.92,167.22,C
Hipposideros_commersoni,95.99,91.07,C
Hipposideros_coronatus,46.5,281,C
Hipposideros_corynophyllus,48.5,281.74,NA
Hipposideros_coxi,53,280.74,NA
Hipposideros_crumeniferus,53,97.99,NA
Hipposideros_curtus,44.49,257.65,NA
Hipposideros_cyclops,64.74,149.42,NA
Hipposideros_diadema,88.69,221.44,C
Hipposideros_dinops,95,193.88,C
Hipposideros_doriae,37.5,295.21,C
Hipposideros_dyacorum,40.5,275.18,C
Hipposideros_fuliginosus,59.99,135.82,NA
Hipposideros_fulvus,40.87,85.87,C
Hipposideros_galeritus,45.99,134.93,O
Hipposideros_halophyllus,37,161.08,C
Hipposideros_inexpectatus,100.49,231.85,C
Hipposideros_inornatus,71.1,106.09,NA
Hipposideros_jonesi,49.5,129.51,NA
Hipposideros_lamottei,55.5,141.3,NA
Hipposideros_lankadiva,83.5,102.77,C
Hipposideros_larvatus,59.99,176.61,C
Hipposideros_lekaguli,75.49,218.84,C
Hipposideros_lylei,78.5,161.24,C
Hipposideros_macrobullatus,41.49,256.52,C
Hipposideros_maggietaylorae,59,296.47,NA
Hipposideros_marisae,40.5,172.74,NA
Hipposideros_megalotis,35.99,82.36,NA
Hipposideros_muscinus,45.5,268.65,NA
Hipposideros_nequam,45.5,167,NA
Hipposideros_obscurus,42.5,199.6,C
Hipposideros_papua,50.49,202.64,C
Hipposideros_pomona,40.5,141.93,C
Hipposideros_pratti,84.99,115.17,C
Hipposideros_pygmaeus,38,216.76,C
Hipposideros_ridleyi,46.89,268.14,C
Hipposideros_ruber,49.55,122.62,NA
Hipposideros_semoni,45.5,132.29,NA
Hipposideros_speoris,51.49,96.08,C
Hipposideros_stenotis,43.5,73.89,NA
Hipposideros_turpis,73.49,157.37,C
Hipposideros_wollastoni,42.5,267.81,NA
Histiotus_macrotus,48.5,41.9,C
Histiotus_montanus,47.5,91.8,C
Histiotus_velatus,47,118.76,C
Hesperoptenus_blanfordi,26.5,221.88,NA
Lampronycteris_brachyotis,39.61,167.21,O
Lasionycteris_noctivagans,41.26,58.16,C
Lasiurus_borealis,40.71,87.53,C
Lasiurus_castaneus,44.49,200.91,C
Lasiurus_cinereus,54.4,75.42,C
Lasiurus_ebenus,45.95,152,NA
Lasiurus_ega,47.5,130.97,C
Lasiurus_egregius,48.99,137.5,NA
Lasiurus_intermedius,55.08,106.12,NA
Latidens_salimalii,67.49,118.02,NA
Lavia_frons,56,78.97,C
Hylonycteris_underwoodi,34,141.67,NA
Hypsignathus_monstrosus,127.5,134.45,H
